Start Timestamp,Elapsed Time (s),Rounds Played,Score,Total Reward,BOILING,BOMB_DROPPED,BOMB_EXPLODED,BOMB_USELESS,CLOSING_IN,COIN_COLLECTED,COIN_FOUND,COOL,CRATE_DESTROYED,CRATE_POT_DESTROYED,DANGER,FRESHENED_UP,GOT_KILLED,HOT,INESCAPABLE,INVALID_ACTION,KILLED_OPPONENT,KILLED_SELF,MOVED_DOWN,MOVED_LEFT,MOVED_RIGHT,MOVED_UP,NOT_DEAD,OPPONENT_ELIMINATED,RUN_DANGER,RUN_KNOWN_DANGER,RUN_SAFE,SURVIVED_ROUND,WAITED,WARM,UP,DOWN,LEFT,RIGHT,WAIT,BOMB
2024-09-29 14:31:00,283.58820819854736,10,0,-44.75000000000011,0,20,20,0,0,0,3,0,34,0,0,0,10,0,0,44,0,10,55,54,49,53,0,0,0,7,0,0,102,0,60,64,62,60,99,22
2024-09-29 14:31:00,284.6607620716095,10,0,-48.750000000000014,0,20,20,0,0,0,4,0,38,0,0,0,10,0,0,60,0,10,49,41,40,59,0,0,0,7,0,0,73,0,73,46,55,55,71,32
2024-09-29 14:31:00,286.1385579109192,10,0,-51.839999999999804,0,16,16,0,0,0,2,0,36,0,0,0,10,0,0,58,0,10,151,81,86,154,0,0,0,8,0,0,70,0,167,96,160,95,68,20
2024-09-29 14:31:00,287.4753201007843,10,0,-51.62000000000003,0,17,17,0,0,0,1,0,31,0,0,0,10,0,0,55,0,10,75,105,102,80,0,0,1,9,0,0,93,0,96,106,88,110,92,25
2024-09-29 14:31:00,288.3922381401062,10,0,-41.30000000000005,0,12,12,0,0,0,3,0,27,0,0,0,10,0,0,34,0,10,37,44,40,35,0,0,0,8,0,0,65,0,46,44,42,47,61,17
2024-09-29 14:31:00,289.51445603370667,10,0,-48.30000000000011,0,26,26,0,0,0,2,0,36,0,0,0,10,0,0,58,0,10,73,40,41,68,0,0,0,6,0,0,108,0,76,48,92,45,107,36
2024-09-29 14:31:00,290.7417149543762,10,0,-43.109999999999985,0,15,15,0,0,0,3,0,30,0,0,0,10,0,0,37,0,10,28,109,108,22,0,0,1,8,0,0,37,0,32,115,31,113,35,20
2024-09-29 14:31:00,291.79936718940735,10,0,-48.33000000000027,0,16,16,0,0,0,3,0,43,0,0,0,10,0,0,46,0,10,24,123,124,20,0,0,0,10,0,0,65,0,27,132,31,130,64,24
2024-09-29 14:31:00,292.4945740699768,10,0,-40.96999999999996,0,19,19,0,0,0,0,0,44,0,0,0,10,0,0,34,0,10,36,25,23,39,0,0,0,8,0,0,58,0,44,33,41,26,55,25
2024-09-29 14:31:00,293.32698607444763,10,0,-40.939999999999955,0,14,14,0,0,0,2,0,42,0,0,0,10,0,0,29,0,10,73,7,5,77,0,0,1,9,0,0,52,0,80,13,74,9,49,22
2024-09-29 14:31:00,294.4835150241852,10,0,-47.35999999999998,0,15,15,0,0,0,2,0,36,0,0,0,10,0,0,44,0,10,86,37,38,85,0,0,0,10,0,0,70,0,98,45,92,44,66,20
